serialNo,City,Brand,Model,Price/Unit,Quantity,Amount,Date,RAM,Internal Memory
195,Delhi,Brand 3,Model 22,8990,1,8990,9/27/2020,Feature1_1,Feature2_1
196,Delhi,Brand 3,Model 40,8990,1,8990,9/27/2020,Feature1_1,Feature2_1
197,Delhi,Brand 10,Model 86,11490,1,11490,9/27/2020,Feature1_1,Feature2_2
198,Delhi,Brand 1,Model 29,3600,1,3600,9/27/2020,Feature1_2,
416,Kolkata,Brand 1,Model 115,11999,1,11999,9/27/2020,Feature1_3,Feature2_2
12,Chennai,Brand 2,Model 1,14499,1,14499,9/27/2020,Feature1_3,Feature2_2
334,Kolkata,Brand 8,Model 30,14500,1,14500,9/27/2020,Feature1_3,Feature2_2
2094,Kolkata,Brand 4,Model 87,1550,1,1550,9/27/2020,Feature1_4,
212,Ahmedabad,Brand 1,Model 53,22990,1,22990,9/27/2020,Feature1_5,Feature2_3
1152,Delhi,Brand 5,Model 180,1250,1,1250,9/27/2020,Feature1_6,
38,Delhi,Brand 3,Model 116,1550,1,1550,9/27/2020,Feature1_7,
335,Kolkata,Brand 5,Model 181,9990,1,9990,9/27/2020,Feature1_1,Feature2_1
199,Delhi,Brand 1,Model 88,900,1,900,9/27/2020,Feature1_4,
1153,Delhi,Brand 1,Model 31,1250,1,1250,9/27/2020,Feature1_6,
9,Chennai,Brand 4,Model 41,14499,1,14499,9/27/2020,Feature1_3,Feature2_2
10,Chennai,Brand 3,Model 22,7970,1,7970,9/27/2020,Feature1_8,Feature2_1
11,Chennai,Brand 2,Model 11,18299,1,18299,9/27/2020,Feature1_9,Feature2_2
200,Delhi,Brand 2,Model 3,9990,1,9990,9/27/2020,Feature1_1,Feature2_1
1154,Delhi,Brand 2,Model 11,7990,1,7990,9/27/2020,Feature1_8,Feature2_1
108,Delhi,Brand 5,Model 117,9000,1,9000,9/27/2020,Feature1_1,Feature2_2
402,Kolkata,Brand 1,Model 540,15300,1,15300,9/27/2020,Feature1_3,Feature2_3
7,Chennai,Brand 1,Model 54,14499,1,14499,9/27/2020,Feature1_3,Feature2_2
6700526,Kolkata,Brand 1,Model 32,1499,1,9700,9/27/2020,Feature1_1,Feature2_2
6700527,Kolkata,Brand 2,Model 16,1200,1,1200,9/27/2020,Feature1_6,
27,Delhi,Brand 1,Model 29,1000,1,1000,9/27/2020,Feature1_4,
5,Chennai,Brand 4,Model 182,7970,1,7970,9/27/2020,Feature1_8,Feature2_1
336,Kolkata,Brand 4,Model 55,15999,1,17990,9/27/2020,Feature1_3,Feature2_3
20,Delhi,Brand 1,Model 276,5999,1,5999,9/27/2020,Feature1_10,Feature2_4
337,Kolkata,Brand 3,Model 118,7400,1,7400,9/27/2020,Feature1_8,Feature2_1
2096,Kolkata,Brand 8,Model 183,1150,1,9700,9/27/2020,Feature1_1,Feature2_2
6700528,Kolkata,Brand 7,Model 119,1200,1,1200,9/27/2020,Feature1_6,
35,Kolkata,Brand 1,Model 89,700,1,9700,9/27/2020,Feature1_1,Feature2_2
39,Delhi,Brand 5,Model 184,800,1,800,9/27/2020,Feature1_4,
6700529,Kolkata,Brand 7,Model 277,10999,1,10999,9/27/2020,Feature1_1,Feature2_1
2097,Kolkata,Brand 7,Model 278,3399,1,9700,9/27/2020,Feature1_1,Feature2_2
2407,Delhi,Brand 7,Model 280,8499,1,8499,9/27/2020,Feature1_1,Feature2_1
13,Chennai,Brand 1,Model 29,8590,1,8590,9/27/2020,Feature1_8,Feature2_1
16,Chennai,Brand 7,Model 281,9990,1,9990,9/27/2020,Feature1_1,Feature2_2
417,Kolkata,Brand 8,Model 56,1150,1,1150,9/27/2020,,
53,Kolkata,Brand 6,Model 17,19000,1,19000,9/27/2020,Feature1_5,Feature2_3
51,Kolkata,Brand 8,Model 282,750,1,9700,9/27/2020,Feature1_1,Feature2_2
2408,Delhi,Brand 4,Model 33,849,1,849,9/27/2020,Feature1_11,
94,Delhi,Brand 5,Model 90,900,1,900,9/27/2020,Feature1_4,
95,Delhi,Brand 5,Model 185,1000,1,1879,9/28/2020,,
201,Delhi,Brand 1,Model 57,849,1,849,9/28/2020,Feature1_4,
2098,Kolkata,Brand 2,Model 18,1999,1,9700,9/28/2020,Feature1_1,Feature2_2
41,Delhi,Brand 5,Model 285,1200,1,1149,9/28/2020,Feature1_7,
3,Delhi,Brand 7,Model 120,1500,1,1361,9/28/2020,Feature1_4,
4,Delhi,Brand 6,Model 58,1600,1,1490,9/27/2020,Feature1_4,
56,Delhi,Brand 6,Model 59,1100,1,1066,9/28/2020,Feature1_4,
57,Delhi,Brand 2,Model 16,1150,1,1375,9/27/2020,Feature1_12,
440,Lucknow,Brand 1,Model 60,11999,1,11999,9/28/2020,Feature1_3,Feature2_2
28,Delhi,Brand 7,Model 186,1200,1,1389,9/28/2020,Feature1_13,
16,Delhi,Brand 2,Model 1,1600,1,1361,9/28/2020,Feature1_4,
29,Delhi,Brand 4,Model 34,1000,1,1399,9/27/2020,Feature1_4,
418,Kolkata,Brand 6,Model 61,9999,1,9999,9/28/2020,Feature1_3,Feature2_2
148,Delhi,Brand 3,Model 35,5999,1,5999,9/28/2020,Feature1_8,Feature2_4
6700530,Kolkata,Brand 8,Model 42,5499,1,5499,9/28/2020,Feature1_10,Feature2_4
35,Ludhiana,Brand 6,Model 62,900,1,900,9/28/2020,Feature1_4,
40,Delhi,Brand 8,Model 42,850,1,850,9/28/2020,Feature1_4,
16,Delhi,Brand 1,Model 63,1300,1,1300,9/27/2020,Feature1_14,
40,Delhi,Brand 6,Model 121,1200,1,1125,9/28/2020,Feature1_4,
6700531,Kolkata,Brand 1,Model 5,15805,1,15805,9/28/2020,Feature1_9,Feature2_3
43,Delhi,Brand 3,Model 116,8500,1,8999,9/27/2020,Feature1_3,Feature2_2
53,Kolkata,Brand 8,Model 288,6800,1,6800,9/27/2020,Feature1_10,Feature2_4
55,Kolkata,Brand 1,Model 64,6000,1,6000,9/28/2020,Feature1_10,Feature2_4
15,Delhi,Brand 1,Model 91,1350,1,1350,9/28/2020,Feature1_15,
38,Kolkata,Brand 3,Model 36,1200,1,9700,9/28/2020,Feature1_1,Feature2_2
405,Kolkata,Brand 9,Model 122,1550,1,9700,9/28/2020,Feature1_1,Feature2_2
22,Delhi,Brand 1,Model 32,750,1,750,9/27/2020,Feature1_4,
109,Delhi,Brand 6,Model 121,11000,1,11000,9/28/2020,Feature1_3,Feature2_2
110,Delhi,Brand 7,Model 289,11000,1,11000,9/28/2020,Feature1_3,Feature2_2
111,Delhi,Brand 5,Model 123,14500,1,14500,9/28/2020,Feature1_9,Feature2_2
112,Delhi,Brand 3,Model 37,14500,1,14500,9/28/2020,Feature1_9,Feature2_2
338,Kolkata,Brand 6,Model 61,7300,1,7300,9/28/2020,Feature1_8,Feature2_1
22,Delhi,Brand 7,Model 187,1650,1,1650,9/28/2020,,
23,Delhi,Brand 10,Model 43,1600,1,1526,9/27/2020,,
21,Lucknow,Brand 1,Model 64,950,1,14500,9/28/2020,Feature1_3,Feature2_2
52,Delhi,Brand 1,Model 188,1150,1,1389,9/27/2020,Feature1_13,
23,Chennai,Brand 6,Model 19,9990,1,9990,9/28/2020,Feature1_1,Feature2_2
149,Delhi,Brand 4,Model 4,12990,1,12989.99,9/28/2020,Feature1_3,Feature2_2
24,Chennai,Brand 3,Model 545,18990,1,18990,9/28/2020,Feature1_5,Feature2_3
25,Chennai,Brand 10,Model 124,14499,1,14499,9/27/2020,Feature1_3,Feature2_2
26,Chennai,Brand 4,Model 189,8590,1,8590,9/27/2020,Feature1_8,Feature2_1
17,Kolkata,Brand 6,Model 125,1400,1,9700,9/27/2020,Feature1_1,Feature2_2
18,Kolkata,Brand 1,Model 126,1200,1,9700,9/28/2020,Feature1_1,Feature2_2
24,Lucknow,Brand 1,Model 115,1650,1,1410,9/28/2020,Feature1_6,
407,Kolkata,Brand 3,Model 127,1600,1,9700,9/28/2020,Feature1_1,Feature2_2
408,Kolkata,Brand 4,Model 4,12990,1,12990,9/28/2020,Feature1_3,Feature2_2
43,Lucknow,Brand 1,Model 63,8900,1,8900,9/28/2020,Feature1_8,Feature2_1
217,Delhi,Brand 1,Model 128,1100,1,1100,9/28/2020,Feature1_4,
59,Kanpur,Brand 5,Model 190,1050,1,1050,9/28/2020,Feature1_11,
29,Kolkata,Brand 8,Model 129,1000,1,9700,9/28/2020,Feature1_1,Feature2_2
21,Delhi,Brand 2,Model 11,850,1,849,9/28/2020,Feature1_11,
17,Delhi,Brand 10,Model 43,28999,1,28999,9/28/2020,Feature1_8,Feature2_1
23,Lucknow,Brand 4,Model 44,950,1,14500,9/28/2020,Feature1_3,Feature2_2
52,Kolkata,Brand 10,Model 547,700,1,9700,9/28/2020,Feature1_1,Feature2_2
113,Delhi,Brand 6,Model 121,9500,1,9500,9/28/2020,Feature1_1,Feature2_1
2409,Delhi,Brand 1,Model 23,849,1,849,9/28/2020,Feature1_4,
23,Lucknow,Brand 3,Model 92,950,1,14500,9/28/2020,Feature1_3,Feature2_2
15,Kolkata,Brand 4,Model 4,1099,1,9700,9/28/2020,Feature1_1,Feature2_2
218,Delhi,Brand 2,Model 16,950,1,950,9/28/2020,Feature1_16,
114,Delhi,Brand 6,Model 19,14500,1,14500,9/28/2020,Feature1_9,Feature2_2
